"b'2.2449284'","b'1.1599277'","b'1.8185213'","b'92097390000000.0'","b'1699598400000000.0'","b'371880550000000.0'","b'52'","b'9.087942'","b'-79.40249'","b'10023.757'","b'2020-03-01T19:09:21.078Z'"
"b'3.4463656'","b'1.4646043'","b'1.7535268'","b'180087300000000.0'","b'1699598400000000.0'","b'368284450000000.0'","b'37'","b'8.93694'","b'-79.775986'","b'34449.555'","b'2020-03-02T18:14:28.841Z'"
"b'2.0889578'","b'1.1369768'","b'0.9278806'","b'223491170000000.0'","b'1699598400000000.0'","b'371119000000000.0'","b'50'","b'9.067652'","b'-79.400055'","b'9337.596'","b'2020-03-03T18:57:05.714Z'"
"b'3.5249093'","b'1.4221348'","b'1.353302'","b'224645580000000.0'","b'1699598400000000.0'","b'371325830000000.0'","b'53'","b'9.030632'","b'-79.578415'","b'10775.066'","b'2020-03-04T19:40:10.596Z'"
"b'2.1901064'","b'1.4005531'","b'0.9306502'","b'231649330000000.0'","b'1699598400000000.0'","b'374109500000000.0'","b'86'","b'9.010633'","b'-79.36157'","b'13574.97'","b'2020-03-05T18:44:52.359Z'"
"b'2.8159583'","b'1.2802685'","b'1.2154393'","b'216773040000000.0'","b'1699598400000000.0'","b'371880400000000.0'","b'51'","b'9.053577'","b'-79.69011'","b'23005.115'","b'2020-03-06T19:27:51.234Z'"
"b'2.5083604'","b'1.3322068'","b'1.5051491'","b'166162490000000.0'","b'1699598400000000.0'","b'372132200000000.0'","b'46'","b'9.016017'","b'-79.42752'","b'6546.9766'","b'2020-03-07T18:32:42.991Z'"
"b'2.4070625'","b'1.2020578'","b'1.116859'","b'210689350000000.0'","b'1699598400000000.0'","b'371031620000000.0'","b'53'","b'9.054147'","b'-79.36105'","b'13244.285'","b'2020-03-08T19:15:31.863Z'"
"b'3.008729'","b'1.384268'","b'1.3758425'","b'208273300000000.0'","b'1699598400000000.0'","b'370269130000000.0'","b'37'","b'9.078463'","b'-79.41134'","b'8659.854'","b'2020-03-09T18:20:35.622Z'"
"b'2.1264453'","b'1.1201397'","b'0.9609926'","b'221015800000000.0'","b'1699598400000000.0'","b'373102470000000.0'","b'49'","b'9.036844'","b'-79.371414'","b'12051.092'","b'2020-03-10T19:03:14.491Z'"
